Train cost,Test cost,Train accuracy,Test accuracy
0.050008488107083894,0.05526789329510246,0.94006,0.9327
0.045444057675282465,0.0635038458341441,0.94434,0.9235
0.016495408007803983,0.04944049495874786,0.98066,0.9408
0.00800209431394694,0.04804483695138695,0.99086,0.943
0.0028863941429650743,0.046031575600637434,0.99572,0.9467
0.001387934092354949,0.046918986159794375,0.99778,0.9457
0.0007923569365371184,0.04710606995372663,0.99866,0.9452
0.00031619000768398864,0.04732154256891797,0.99944,0.9451
0.00013214155047169506,0.04761629487128094,0.99978,0.9449
6.571533620109003e-05,0.047683342536741904,0.99988,0.9445
1.2692980356407375e-05,0.04780305623378204,0.99998,0.9444
1.1369130544852007e-05,0.04787107494582995,0.99998,0.9439
6.511703135385276e-07,0.047910217097654285,1.0,0.9438
3.8646561726816854e-07,0.04793208976148577,1.0,0.9439
2.1772341463164058e-07,0.04793801968927408,1.0,0.9439
1.5511047379027635e-07,0.0479384870150444,1.0,0.9438
1.2444039609447202e-07,0.04793531371671317,1.0,0.9438
1.0529572208663305e-07,0.04793085244364558,1.0,0.9438
9.154102658341401e-08,0.047925752733551284,1.0,0.9438
8.301492178190859e-08,0.04792066072212581,1.0,0.9437
7.749918407290867e-08,0.04791596868154835,1.0,0.9437
7.350568262405607e-08,0.04791180431975532,1.0,0.9437
7.027498608449315e-08,0.047908111030473634,1.0,0.9438
6.75437528051157e-08,0.04790485155839422,1.0,0.9438
6.516320854578831e-08,0.04790196753208889,1.0,0.9438
6.302373461249787e-08,0.047899407115837976,1.0,0.9438
6.108022730527857e-08,0.047897128115064184,1.0,0.9438
5.9302303021646745e-08,0.047895095649006035,1.0,0.9438
5.766581569188658e-08,0.04789328060741578,1.0,0.9438
5.615132485978429e-08,0.04789165848228637,1.0,0.9438
